09:05:23:988 [ALWAYS]	GUDE Logging Started
09:05:23:989 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
09:05:23:989 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
09:05:23:989 [ERROR]	Initialize resume cache pointer failure
09:05:23:989 [INFO]	gude policy POLICY_USER limit (2,2,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 0, timeout 86400 
09:05:23:989 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
09:05:33:385 [WARN]	Ignoring attempt to reinit logging to \gude at level 4 retaining 3 days of logs
09:05:33:385 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
09:05:33:385 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
09:05:33:385 [ERROR]	Initialize resume cache pointer failure
09:05:33:385 [INFO]	gude policy POLICY_USER limit (4,4,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 1, timeout 86400 
09:05:33:385 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
